credit_provider_name;trading_names;registration_status;effective_date
"FRABERT (EDMS) BPK";"CASH WISE";"cancelled_by_tribunal";"2008/10/09"
"COMPREHENSIVE FINANCIAL SERVICES WITBANK CC";"";"cancelled_by_tribunal";"2014/09/17"
"XANADU PROPERTIES 117 CC";"CASH - IN - A - FLASH";"cancelled_by_tribunal";"2016/01/29"
"RUFUS AFONSO FINANCIAL CONSULTANTS CC";"R.A . FINANCIAL CONSULTANTS";"cancelled_by_tribunal";"2013/10/30"
"PIET CASH LOANS CC";"";"cancelled_by_tribunal";"2011/02/15"
"NGOZA FINANCIAL SERVICES CC";"";"cancelled_by_tribunal";"2019/07/12"
"SEASON'S STAR TRADING 333 CC";"DE NOON'S CASH LOANS";"cancelled_by_tribunal";"2013/11/22"
"CREDIT CARE (PTY) LTD";"CREDIT CARE - MAIN BRANCH, FURNITURE STORE, KLERKSDORP, KANANA";"cancelled_by_tribunal";"2013/11/14"
"SELF DISCOVERY CASH AND MARKETING CC";"";"cancelled_by_tribunal";"2018/12/01"
"MAYIBUYE CASH LOANS CC";"";"cancelled_by_tribunal";"2015/09/18"
"CROSS ATLANTIC PROPERTIES 41 (PTY) LTD";"";"voluntarily_cancelled";"2019/03/04"
"AROGELANANG CASH SERVICES (PTY) LTD";"AROGELANANG CASH SERVICES (PTY) LTD";"voluntarily_cancelled";"2019/07/08"
"M AND B FINANCE CC";"";"voluntarily_cancelled";"2007/07/16"
"W.E. CASH LOANS CC";"";"voluntarily_cancelled";"2010/09/22"
"GREAT FORCE INVESTMENTS 104 (PTY) LTD";"";"voluntarily_cancelled";"2009/08/31"
"BRIDGE FLOW (PTY) LTD";"";"voluntarily_cancelled";"2018/08/17"
"ZABCOR (PTY) LTD";"";"voluntarily_cancelled";"2019/05/13"
"CREDIT U FINANCIAL SERVICES (PTY) LTD";"";"voluntarily_cancelled";"2009/08/28"
"SYFERKRAAL BOERDERY CC";"";"voluntarily_cancelled";"2018/11/26"
"SEBOM TRADING ENTERPRISE (PTY) LTD";"";"voluntarily_cancelled";"2019/07/30"
"BLUE AGE PROPERTIES 20 (PTY) LTD";"";"lapsed";"2019/02/28"
"BLOOMBERG FRACTIONAL FINANCE (PTY) LTD";"";"lapsed";"2016/03/31"
"ANDREWLINE BERNADETTE BOKS";"";"lapsed";"2014/03/31"
"RONALD HARRY WEISSENBERG";"";"lapsed";"2018/11/01"
"LANCER TRADING 1038 CC";"";"lapsed";"2014/08/31"
"COSMIC GOLD TRADING 172 CC";"";"lapsed";"2014/03/31"
"STANTON FURNISHERS CC";"";"lapsed";"2014/03/31"
"BENNIES PAND RANDFONTEIN (PTY) LTD";"";"lapsed";"2019/01/22"
"KAMONYAKA FINANCE CC";"";"lapsed";"2014/03/31"
"REFFIN INVESTMENTS CC";"";"lapsed";"2014/03/31"
"THUTHUKANI FINANCIAL SERVICES (PTY) LTD";"";"registered";"2006/11/07"
"BANK OF TAIWAN (INCORPORATED IN REPUBLIC OF CHINA)";"BANK OF TAIWAN SOUTH AFRICA BRANCH";"registered";"2007/06/18"
"SIYASIZANA MBENSE (PTY) LTD";"";"registered";"2017/11/21"
"NICHE CASH SOLUTIONS (PTY) LTD";"";"registered";"2017/11/20"
"ASPACO (PTY) LTD";"";"registered";"2017/11/17"
"MEILING SUPERMARKET (PTY) LTD";"";"registered";"2017/11/22"
"RW BIZ (PTY) LTD";"";"registered";"2017/11/20"
"GRIP CAPITAL (PTY) LTD";"";"registered";"2017/11/23"
"JACOBUS ANDRIES NICOLAAS VAN DER VLIES";"";"registered";"2017/11/23"
"EASTERN BLUE INVESTMENTS 178 CC";"";"registered";"2017/11/23"
"PHASE 2 CDS INVESTMENTS CC";"";"cancelled_by_tribunal";"2017/07/27"
"BURGERT WYNAND DU PLESSIS";"Eagle Cash Loans";"cancelled_by_tribunal";"2017/02/16"
"ALLIED MICRO FINANCE CC";"ALLIED LOANS";"cancelled_by_tribunal";"2010/12/01"
"AKUDLE KUTISHIYELE CASH LOANS CC";"";"cancelled_by_tribunal";"2016/02/09"
"VAIDRO 178 CC";"VULEKA CASH LOANS DUNDEE";"cancelled_by_tribunal";"2013/04/06"
"KING FINANCE TRUST";"";"cancelled_by_tribunal";"2013/10/10"
"KAREE CASH LOAN CC";"";"cancelled_by_tribunal";"2014/04/16"
"MURPHY AND SONS CASH LOANS CC";"";"cancelled_by_tribunal";"2018/03/05"
"TAPEISI TRADING CC";"Lee James Micro Lender";"cancelled_by_tribunal";"2015/06/22"
"SINAKO KONTANT LENINGS CC";"";"cancelled_by_tribunal";"2014/01/27"
"DIRECT CREDIT FINANCIAL SERVICES (PTY) LTD";"DIRECT CREDIT";"voluntarily_cancelled";"2018/07/31"
"OOST BOERDERY CC";"THABO FINANCIAL SERVICES";"voluntarily_cancelled";"2009/07/13"
"NBARGAIN CC";"";"voluntarily_cancelled";"2018/02/28"
"JURIE PETRUS MOSTERT";"L & M CASH LOANS";"voluntarily_cancelled";"2019/03/14"
"EMINENT FINANCE (PTY) LTD";"EMINENT FINANCE";"voluntarily_cancelled";"2009/04/08"
"MONEY FRIEND CC";"";"voluntarily_cancelled";"2011/08/07"
"NIZAMS ZEBEDIELA SUPERMARKET (PTY) LTD";"XIONGYING CASH LOAN";"voluntarily_cancelled";"2019/07/11"
"ASHRAFF ALLI EBRAHIM";"GANIS HYPERSTORE";"voluntarily_cancelled";"2011/04/03"
"GALAXY JEWELLERS (PTY) LTD";"GALAXY & CO.";"voluntarily_cancelled";"2012/08/08"
"GERTRUIDA JACOBA JANSEN VAN RENSBURG";"";"voluntarily_cancelled";"2019/01/29"
"BONOLO CASH LOANS (PTY) LTD";"";"lapsed";"2019/01/22"
"EMMAUS CASH LOANS CC";"";"lapsed";"2014/03/31"
"SISWE CASH LOANS CC";"";"lapsed";"2014/03/31"
"ETSILE THEBE MICRO LOANS CC";"";"lapsed";"2014/03/31"
"HARNO'S PAWN SHOP CC";"";"lapsed";"2018/11/30"
"HENQUE 4034 CC";"";"lapsed";"2014/03/31"
"ACCORD DEBT SOLUTIONS CC";"";"lapsed";""
"BRINANO LOANS AND FINANCE (PTY) LTD";"";"lapsed";"2019/01/22"
